** CONVERTED FROM D:\data\some_file.edf using edfapi 3.1 Win32 Jan 19 2015 on Wed Jul 15 15:03:16 2015
** DATE: Wed Jul 15 01:41:59 2015
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.04 Sep 25 2014
** CAMERA: Eyelink GL Version 1.2 Sensor=AJ7
** SERIAL NUMBER: CLG-BBD46
** CAMERA_CONFIG: BBD46200.SCD
**

MSG	4489873 RECCFG CR 500 2 1 LR
MSG	4489873 ELCLCFG BTABLER
MSG	4489873 GAZE_COORDS 0.00 0.00 1279.00 1023.00
MSG	4489873 THRESHOLDS L 51 201  R 47 207
MSG	4489873 ELCL_WINDOW_SIZES 160 160 0 0
MSG	4489873 ELCL_PROC CENTROID (3)
MSG	4489873 ELCL_PCR_PARAM 5 3.0
START	4489874 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
MSG	4489874 !MODE RECORD CR 500 2 1 LR
ESACC R  4489992	4490010	20	  743.5	  493.4	  714.3	  485.9	   0.75	     80
SFIX R   4490012
4490012	   .	   .	    0.0	  716.0	  486.2	 6097.0	32768.0	.C...
MSG 4490012 US
4490014	   .	   .	    0.0	  719.5	  485.7	 6092.0	32768.0	.C...
4490016	   .	   .	    0.0	  722.4	  485.3	 6090.0	32768.0	.C...
4490018	   .	   .	    0.0	  722.9	  482.9	 6096.0	32768.0	.C...
4490020	   .	   .	    0.0	  725.2	  482.1	 6093.0	32768.0	.C...
4490022	   .	   .	    0.0	  724.9	  482.1	 6086.0	32768.0	.C...
4490024	   .	   .	    0.0	  723.6	  482.9	 6084.0	32768.0	.C...
4490026	   .	   .	    0.0	  723.1	  484.8	 6085.0	32768.0	.C...
4490028	   .	   .	    0.0	  723.1	  485.2	 6086.0	32768.0	.C...
4490030	   .	   .	    0.0	  722.1	  484.0	 6091.0	32768.0	.C...
4490032	   .	   .	    0.0	  721.0	  483.3	 6090.0	32768.0	.C...
4490034	   .	   .	    0.0	  721.3	  484.1	 6083.0	32768.0	.C...
4490036	   .	   .	    0.0	  724.2	  484.2	 6091.0	32768.0	.C...
4490038	   .	   .	    0.0	  725.6	  484.9	 6088.0	32768.0	.C...
4490040	   .	   .	    0.0	  725.2	  485.2	 6075.0	32768.0	.C...
4490042	   .	   .	    0.0	  724.7	  486.9	 6072.0	32768.0	.C...
4490044	   .	   .	    0.0	  724.0	  487.7	 6073.0	32768.0	.C...
4490046	   .	   .	    0.0	  723.1	  487.2	 6078.0	32768.0	.C...
4490048	   .	   .	    0.0	  722.7	  487.0	 6088.0	32768.0	..R..
4490050	   .	   .	    0.0	  722.6	  486.0	 6090.0	32768.0	.....
MSG 4490050 US
4490052	   .	   .	    0.0	  722.5	  485.4	 6089.0	32768.0	.....
4490054	   .	   .	    0.0	  722.5	  485.5	 6090.0	32768.0	.....
4490056	   .	   .	    0.0	  722.4	  486.1	 6090.0	32768.0	.....
4490058	   .	   .	    0.0	  721.7	  487.6	 6089.0	32768.0	.....
4490060	   .	   .	    0.0	  721.5	  487.6	 6093.0	32768.0	.C...
4490062	   .	   .	    0.0	  721.1	  487.1	 6095.0	32768.0	.C...
4490064	   .	   .	    0.0	  721.6	  485.4	 6092.0	32768.0	.C...
4490066	   .	   .	    0.0	  722.5	  484.1	 6077.0	32768.0	.C...
4490068	   .	   .	    0.0	  723.4	  484.4	 6072.0	32768.0	.C...
4490070	   .	   .	    0.0	  724.3	  486.2	 6079.0	32768.0	.C...
4490072	   .	   .	    0.0	  722.6	  487.3	 6086.0	32768.0	.C...
