Fp1 Fpz Fp2 F3 Fz F4 C3 Cz C4 P3 Pz P4 O1 Oz O2
-12,569 -15,862 -22,548 4,939 1,714 -3,775 19,431 14,966 -0,171 18,490 15,400 9,606 8,491 9,647 7,409
-8,662 -7,334 -8,245 7,323 10,113 1,887 18,249 12,902 -0,343 15,524 14,362 7,335 6,065 7,016 6,351
-3,567 -2,729 0,841 5,960 3,942 1,544 14,193 9,461 -2,401 13,082 11,074 4,541 5,025 4,911 1,940
13,588 14,838 14,639 13,965 11,141 14,241 14,869 12,902 2,401 14,303 11,593 6,986 6,412 5,437 0,882
22,080 21,490 26,250 14,816 20,740 26,080 17,235 15,654 11,147 15,699 14,016 9,781 7,278 5,437 0,353
25,477 24,389 24,062 17,881 16,969 29,511 16,897 19,267 15,606 17,094 15,054 11,178 7,278 4,911 -2,117
21,740 22,684 26,418 21,287 28,110 25,222 19,938 23,223 19,722 17,967 18,341 12,575 8,318 6,665 -0,706
9,851 11,768 16,995 15,838 20,911 17,844 17,235 23,395 19,208 16,746 19,553 14,671 9,531 9,121 3,528
15,456 20,467 21,202 19,414 25,196 27,453 14,700 26,320 23,152 15,699 20,591 17,815 10,224 10,348 7,056
18,513 24,048 30,961 14,986 29,824 31,914 10,645 22,191 27,096 11,164 18,514 14,846 8,318 7,717 5,821
19,193 26,777 26,754 10,559 20,225 37,576 3,210 17,547 22,980 7,152 12,804 10,654 5,199 4,209 1,588
16,135 26,095 27,764 4,428 27,939 40,836 3,041 16,514 22,123 8,024 12,631 10,829 5,025 4,385 1,235
1,019 9,551 14,976 -6,642 16,283 33,801 2,028 13,934 19,894 8,722 12,977 11,527 5,545 5,613 3,528
-5,945 2,899 8,750 -6,301 14,398 31,227 1,183 12,214 17,321 6,803 11,766 10,305 3,639 4,560 4,057
-11,889 -5,628 7,067 -13,283 11,484 18,702 -2,704 5,333 13,720 0,523 6,575 6,462 -0,347 1,403 1,235
-6,794 -2,899 4,711 -12,432 -0,514 13,898 -6,928 2,752 11,662 -2,616 1,211 5,764 -2,599 -0,351 -0,706
-2,718 1,194 12,957 -7,663 7,370 13,898 -5,576 2,580 14,749 -4,186 0,519 7,335 -4,679 -2,280 -0,176
-10,700 -6,993 5,553 -13,283 -3,771 5,319 -9,124 -2,236 12,348 -7,152 -2,769 4,716 -8,491 -5,788 -1,764
-13,588 -5,969 0,505 -14,816 -5,485 4,118 -11,997 -5,333 7,031 -8,896 -6,229 -0,349 -12,130 -9,822 -5,116
-21,740 -13,303 -1,514 -21,628 -5,656 2,231 -14,193 -10,666 0,514 -10,815 -9,344 -6,288 -13,517 -12,102 -9,173
-21,910 -13,474 -7,572 -17,881 -14,226 6,005 -14,869 -7,913 -3,944 -6,105 -8,998 -4,541 -7,105 -7,367 -9,702
-5,775 2,558 8,077 -0,681 7,713 22,992 0,338 9,117 11,490 11,164 7,613 12,750 11,957 9,997 3,528
-7,134 0,171 7,572 -4,939 8,570 18,702 5,407 11,010 20,237 13,606 15,746 16,417 16,636 14,032 10,408
-6,454 0,341 2,524 -9,366 6,856 13,040 0,000 7,569 16,464 7,675 10,728 10,305 11,090 8,770 5,469
-17,154 -12,621 -2,861 -22,139 0,857 1,373 -7,604 -0,516 9,947 -0,698 3,980 2,096 3,466 2,280 -0,882
-24,628 -19,955 -14,976 -31,165 -16,797 -2,574 -18,587 -8,257 -0,686 -9,070 -4,845 -6,812 -3,119 -3,683 -7,938
-26,156 -21,149 -12,283 -35,763 -14,055 -2,574 -25,852 -15,482 -8,232 -16,746 -12,285 -16,068 -8,318 -9,121 -14,818
-27,345 -25,072 -14,639 -40,361 -24,682 -3,603 -31,090 -20,299 -14,577 -18,490 -17,130 -19,911 -5,719 -7,717 -17,464
-17,324 -13,986 -7,740 -30,484 -19,711 4,633 -25,514 -14,450 -11,490 -10,815 -12,458 -14,671 4,159 0,877 -10,937
-18,683 -15,179 -2,187 -29,632 -13,369 2,574 -18,756 -11,526 -7,031 -6,454 -5,883 -9,606 7,971 4,911 -4,234
-21,231 -16,203 -3,702 -29,292 -19,883 2,917 -20,614 -10,838 -7,717 -8,198 -5,883 -8,733 3,639 1,929 -3,705
-26,836 -21,149 1,851 -30,654 -12,341 4,804 -23,656 -13,074 -6,860 -13,431 -8,652 -12,400 -3,812 -4,911 -8,468
-33,120 -30,359 -8,077 -35,933 -21,939 0,858 -29,232 -16,514 -9,261 -18,315 -14,189 -15,719 -10,571 -11,927 -16,406
-14,437 -13,815 -1,514 -24,523 -12,855 10,123 -26,190 -10,494 -3,944 -15,699 -12,458 -11,003 -11,610 -12,804 -17,817
-0,340 -1,023 16,995 -18,392 -0,686 12,010 -20,614 -8,257 1,372 -13,257 -8,479 -7,335 -11,784 -13,330 -17,111
18,174 21,149 34,831 -10,218 -2,228 16,986 -18,080 -7,569 0,514 -10,466 -8,306 -5,589 -11,264 -13,856 -17,817
46,368 53,384 71,008 1,533 14,741 30,884 -11,828 -7,397 3,430 -7,152 -7,267 -5,414 -7,971 -12,453 -17,288
77,620 84,937 107,522 15,327 21,768 50,101 -5,238 -4,645 4,802 -0,349 -4,326 -2,271 1,733 -3,508 -10,408
110,060 119,048 147,233 31,165 38,223 69,318 -1,859 -3,957 7,546 -2,268 -2,595 -1,747 3,466 -0,702 -4,587
129,593 135,591 176,007 33,038 47,136 72,921 -8,279 -11,010 8,403 -11,861 -7,959 -5,065 -0,520 -2,105 -3,175
143,010 145,484 187,280 29,632 37,708 66,229 -21,797 -25,116 -0,857 -27,211 -20,245 -16,243 -12,477 -11,927 -8,291
147,087 149,236 194,684 22,650 34,795 50,616 -38,694 -41,974 -17,150 -44,655 -39,451 -34,058 -30,499 -29,642 -26,285
155,919 159,810 203,602 30,824 33,423 56,278 -38,018 -35,437 -16,635 -35,235 -39,451 -28,294 -21,834 -22,100 -27,167
174,942 182,835 224,972 58,583 61,362 87,505 -12,842 -9,461 6,174 -6,977 -15,573 -4,716 5,025 2,631 -4,587
169,676 178,913 225,982 66,247 79,530 96,942 8,111 4,989 23,666 11,687 4,845 10,829 24,607 20,872 16,229
159,146 169,873 206,799 67,779 73,360 99,859 17,235 13,074 29,154 21,106 15,400 20,609 33,791 30,519 28,401
141,482 152,476 191,151 57,221 72,846 92,309 16,897 8,773 29,840 15,176 17,303 20,260 27,033 26,660 30,342
107,852 117,172 157,666 26,737 40,108 62,798 -3,379 -12,558 12,519 -7,152 0,519 3,318 4,332 7,191 15,700
82,885 93,976 126,536 6,301 15,255 41,350 -25,514 -29,932 -7,203 -27,037 -20,764 -14,671 -17,849 -13,681 -5,116
59,786 71,804 103,484 -7,153 4,114 26,938 -34,639 -36,125 -18,522 -31,223 -29,935 -21,832 -21,141 -17,189 -13,760
51,463 62,935 85,648 -4,939 -2,914 24,879 -29,063 -25,632 -17,321 -17,967 -22,494 -14,671 -5,199 -2,456 -3,175
43,311 54,578 80,431 -1,703 9,770 24,193 -15,883 -13,934 -7,889 -5,407 -8,652 -5,938 9,184 9,647 9,702
22,420 32,917 63,436 -12,091 -0,857 13,212 -15,883 -14,794 -7,203 -5,407 -6,056 -5,938 9,704 9,296 11,290
15,116 24,901 54,182 -16,860 -7,199 3,946 -22,135 -17,547 -12,176 -10,640 -11,593 -10,654 2,773 1,929 3,175
10,361 15,009 48,292 -22,820 -9,770 -1,029 -23,994 -16,858 -10,461 -10,815 -13,670 -11,702 2,773 0,175 -2,823
12,738 14,668 36,346 -18,733 -15,769 3,775 -19,431 -9,117 -4,287 -5,233 -9,690 -8,034 7,278 3,508 -2,293
