## [iView]
## Converted from:	abcedf
## Date:	00.00.0000 00:00:00
## Version:	IDF Converter 0.0.00
## IDF Version:	0
## Sample Rate:	500
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4651                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	abcedf                                                                                                                                                                                                                                                          
## Description:	abc                                                                                                                                                                                                                                                             
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1920 1200
## Calibration Point 0:	Position(960;600)
## Calibration Point 1:	Position(480;120)
## Calibration Point 2:	Position(1728;300)
## Calibration Point 3:	Position(1440;1080)
## Calibration Point 4:	Position(192;900)
## [Geometry]
## Stimulus Dimension [mm]:	474 297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	abcdefaoe
## Operating System :	0.0
## iView X Version:	0.0.00
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, HEADPOSITION, HEADROTATION, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [mm]	H ROT Y [mm]	H ROT Z [mm]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
16291757312	SMP	1	0.00	0.00	647.28	456.79	0.00	0.00	0.00	12.12	12.12	3.28	433.00	463.00	438.00	462.00	642.49	456.00	648.47	456.00	0.00	0.00	0.00	0.00	0	635	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-53.39	12.92	639.45	1.38	14.12	617.56	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291759311	SMP	1	0.00	0.00	646.28	456.63	0.00	0.00	0.00	12.39	12.39	3.29	432.00	463.00	437.00	462.00	641.47	456.00	647.24	456.00	0.00	0.00	0.00	0.00	0	636	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-53.72	12.94	640.31	1.10	14.13	618.10	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291761311	SMP	1	0.00	0.00	644.94	456.59	0.00	0.00	0.00	12.66	12.66	3.30	432.00	463.00	437.00	462.00	641.53	456.00	647.52	456.00	0.00	0.00	0.00	0.00	0	616	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-53.80	12.96	641.16	1.14	14.14	618.49	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291763312	SMP	1	0.00	0.00	644.02	456.44	0.00	0.00	0.00	12.30	12.30	3.30	431.00	463.00	436.00	462.00	640.50	456.00	646.49	456.00	0.00	0.00	0.00	0.00	0	1175	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-54.13	12.97	642.00	0.88	14.15	618.88	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291765306	SMP	1	0.00	0.00	637.68	454.31	0.00	0.00	0.00	9.59	9.59	3.17	426.00	463.00	431.00	462.00	635.49	456.00	642.00	455.50	0.00	0.00	0.00	0.00	0	595	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-55.51	12.99	642.83	-0.32	14.21	618.98	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291769309	SMP	1	0.00	0.00	640.61	455.67	0.00	0.00	0.00	12.41	12.41	3.20	428.00	463.00	433.00	462.00	638.31	455.60	644.37	455.66	0.00	0.00	0.00	0.00	0	620	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-55.06	13.01	643.66	0.34	14.25	619.32	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291771324	SMP	1	0.00	0.00	639.17	455.91	0.00	0.00	0.00	12.20	12.20	3.21	428.00	463.00	433.00	462.00	637.51	455.54	643.71	455.61	0.00	0.00	0.00	0.00	0	1458	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-55.13	13.02	644.48	0.15	14.27	619.58	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291773389	SMP	1	0.00	0.00	633.94	455.88	0.00	0.00	0.00	13.49	13.49	3.29	423.00	463.00	428.00	462.00	633.00	455.50	639.00	455.51	0.00	0.00	0.00	0.00	0	967	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-56.51	13.04	645.29	-1.01	14.30	619.95	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291777399	SMP	1	0.00	0.00	635.64	455.54	0.00	0.00	0.00	13.40	13.40	3.34	425.00	462.00	430.00	461.00	635.00	455.51	641.32	455.35	0.00	0.00	0.00	0.00	0	934	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-56.06	13.32	646.09	-0.47	14.32	620.15	0.00	0.00	0.00	0.00	0.00	0.00	65535		
16291779383	SMP	1	0.00	0.00	634.41	455.51	0.00	0.00	0.00	13.49	13.49	3.40	425.00	462.00	430.00	461.00	634.33	455.35	640.61	455.31	0.00	0.00	0.00	0.00	0	918	0	0	2	-1	1	0.00	0.00	0.00	0.00	0.00	0.00	-56.12	13.34	646.88	-0.64	14.35	620.36	0.00	0.00	0.00	0.00	0.00	0.00	65535		
